"study_day"	"subject"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"SampleID"	"CollectionDate"	"SampleNotes"	"ExtractID"	"ExtractDate"	"ExtractKit"	"ExtractedBy"	"ExtractNotes"	"SequenceID"	"LibraryCode"	"LibPrepKit"	"FlowCellType"	"FlowCellSerial"	"FlongleAdapter"	"SeqDevice"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"	"Omega_3"	"Omega_6"	"Methionine"	"Taurine"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Potassium_K"	"Copper_Cu"	"Iodine_I"	"Iron_Fe"	"Manganese_Mn"	"Zinc_Zn"	"Acid_Detergent_Fiber"	"Neutral_Detergent_Fiber"	"Total_Dietary_Fiber"	"Water_Soluble_Carbohydrates"	"Crude_Fiber"	"Starch"	"Beta_Carotene"	"Lycopene"	"Choline"	"Folic_Acid_Vitamin_B9"	"Vitamin_B1_Thiamin"	"Vitamin_B2_Riboflavin"	"Vitamin_B3_Niacin"	"Vitamin_B5_Pantothenic_Acid"	"Vitamin_B6_Pyridoxine"	"Vitamin_B7_Biotin"	"Vitamin_B12_Cobalamin"	"Vitamin_C_Ascorbic_Acid"	"Vitamin_A"	"Vitamin_D3_Cholecalciferol"	"Vitamin_E"	"Vitamin_K"	"Biscuit"	"Gum_Arabic"	"Invertebrates"	"Protein_Rotation"	"Seasonal_Veggie_Rotation"	"Oat_Gel"	"subject_day"
50	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-173"	2023-12-14	""	"hdz-173-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-173-s246"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_50"
51	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	5.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-060"	2023-12-15	""	"hdz-060-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ/MB"	""	"hdz-060-s80"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_51"
51	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	5.5	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-156"	2023-12-15	""	"hdz-156-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-156-s68"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_51"
51	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-155"	2023-12-15	""	"hdz-155-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-155-s67"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_51"
52	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-174"	2023-12-16	""	"hdz-174-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-174-s247"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_52"
52	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-161"	2023-12-16	""	"hdz-161-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-161-s77"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_52"
53	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	4.5	"old"	"n"	"anestrus"	"health: coprophagy observed"	"yes"	"M"	10	"hdz-168"	2023-12-17	""	"hdz-168-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-168-s58"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_53"
53	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-162"	2023-12-17	""	"hdz-162-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-162-s243"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_53"
54	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-169"	2023-12-18	""	"hdz-169-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-169-s244"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_54"
54	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-170"	2023-12-18	""	"hdz-170-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-170-s245"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_54"
55	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-163"	2023-12-19	""	"hdz-163-e1"	2024-04-09	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-163-s82"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_55"
57	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-084"	2023-12-21	""	"hdz-084-e1"	2024-03-06	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-084-s35"	"hdz2"	"SQK-16S114-24"	"FLO-FLG114"	"AUD789"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_57"
57	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-099"	2023-12-21	""	"hdz-099-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-099-s72"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_57"
58	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-098"	2023-12-22	""	"hdz-098-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-098-s238"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_58"
58	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-103"	2023-12-22	""	"hdz-103-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-103-s239"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_58"
59	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"no"	"M"	10	"hdz-102"	2023-12-23	""	"hdz-102-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-102-s96"	"hdz5"	"SQK-16S114-24"	"FLO-FLG114"	"AVI712"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_59"
59	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-093"	2023-12-23	""	"hdz-093-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-093-s65"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_59"
60	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-089"	2023-12-24	""	"hdz-089-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-089-s64"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_60"
60	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-101"	2023-12-24	"Very little stabilizer in the tube"	"hdz-101-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-101-s57"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_60"
61	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-097"	2023-12-25	""	"hdz-097-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-097-s91"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_61"
61	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-092"	2023-12-25	""	"hdz-092-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-092-s237"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_61"
62	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-088"	2023-12-26	""	"hdz-088-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-088-s234"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_62"
62	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-083"	2023-12-26	""	"hdz-083-e1"	2024-03-06	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-083-s39"	"hdz2"	"SQK-16S114-24"	"FLO-FLG114"	"AUD789"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_62"
63	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	4	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-108"	2023-12-27	""	"hdz-108-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-108-s60"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_63"
63	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-096"	2023-12-27	""	"hdz-096-e1"	2024-04-04	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-096-s95"	"hdz5"	"SQK-16S114-24"	"FLO-FLG114"	"AVI712"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_63"
64	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-091"	2023-12-28	""	"hdz-091-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-091-s236"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_64"
64	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-105"	2023-12-28	""	"hdz-105-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-105-s97"	"hdz5"	"SQK-16S114-24"	"FLO-FLG114"	"AVI712"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_64"
65	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-087"	2023-12-29	""	"hdz-087-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-087-s78"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_65"
66	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-090"	2023-12-30	"Almost no stabilizer in the tube"	"hdz-090-e1"	2024-04-03	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-090-s235"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_66"
67	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	10	"hdz-081"	2023-12-31	""	"hdz-081-e1"	2024-03-06	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-081-s40"	"hdz2"	"SQK-16S114-24"	"FLO-FLG114"	"AUD789"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_67"
67	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	6	"hdz-109"	2023-12-31	""	"hdz-109-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-109-s240"	"hdz11"	"NA"	"NA"	"AVN953"	NA	"NA"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_67"
68	"culi"	"baseline"	52000	90	29000	0	0	0.1	0	0	3	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	"hdz-085"	2024-01-01	""	"hdz-085-e1"	2024-03-06	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-085-s92"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_68"
68	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	"hdz-106"	2024-01-01	""	"hdz-106-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-106-s83"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_68"
69	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	"hdz-107"	2024-01-02	""	"hdz-107-e1"	2024-04-08	"Quick-DNA Fecal/Soil Microbe"	"WJ"	""	"hdz-107-s55"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_69"
73	"culi"	"baseline"	52000	90	29000	0	0	0.2	0	0	6	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	"hdz-190"	2024-01-06	""	"hdz-190-e1"	2024-04-15	"Quick-DNA Fecal/Soil Microbe"	"MB"	""	"hdz-190-s59"	"hdz3"	"SQK-16S114-24"	"FLO-FLG114"	"AUA949"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"culi_73"
73	"warble"	"baseline"	52000	90	29000	0	0	0	0	0	1	"old"	"n"	"anestrus"	NA	"yes"	"F"	7	"hdz-193"	2024-01-06	""	"hdz-193-e1"	2024-05-20	"Quick-DNA Fecal/Soil Microbe"	"SA"	""	"hdz-193-s70"	"hdz4"	"SQK-16S114-24"	"FLO-FLG114"	"AUD364"	"FA-08546"	"Angel-MinION"	5100	2000	2000	2000	635	3370	90	20	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	9000	1000	0	12000	3000	0.3	0.0192825	37.545567	0.24385	0.196003	0.29455	1.957192	1.195088	0.26034	0.008388	0.0563012	11.7	641	131	6	0.048859	13200	12000	10000	2100	15000	0	"warble_73"
