SequenceID,Pipeline,LibraryTube,LibraryBarcode,ExtractID,SampleID,Final Library Concentration,Volume Added to Pool (uL),Seq ID,Run ID,LibraryTubeID
JOA-44-MGE-S122,16S_Rap,7,barcode07,DNA1-JOA-44-MGE,JOA-44-MGE,,,CM007,MIN_16-2024-5-21,S122
IVY-46-MGE-S123,16S_Rap,8,barcode08,DNA1-IVY-46-MGE,IVY-46-MGE,,,CM007,MIN_16-2024-5-21,S123
KUB-48-MGE-S124,16S_Rap,9,barcode09,DNA1-KUB-48-MGE,KUB-48-MGE,,,CM007,MIN_16-2024-5-21,S124
FRA-49-MGE-S125,16S_Rap,10,barcode10,DNA1-FRA-49-MGE,FRA-49-MGE,,,CM007,MIN_16-2024-5-21,S125
HEN-42-MGE-S126,16S_Rap,11,barcode11,DNA1-HEN-42-MGE,HEN-42-MGE,,,CM007,MIN_16-2024-5-21,S126
HER-45-MGE-S127,16S_Rap,12,barcode12,DNA1-HER-45-MGE,HER-45-MGE,,,CM007,MIN_16-2024-5-21,S127
GRO-45-MGE-S128,16S_Rap,13,barcode13,DNA1-GRO-45-MGE,GRO-45-MGE,,,CM007,MIN_16-2024-5-21,S128
OPH-49-MGE-S129,16S_Rap,14,barcode14,DNA1-OPH-49-MGE,OPH-49-MGE,,,CM007,MIN_16-2024-5-21,S129
GIN-49-MGE-S130,16S_Rap,15,barcode15,DNA1-GIN-49-MGE,GIN-49-MGE,,,CM007,MIN_16-2024-5-21,S130
CHA-51-MGE-S131,16S_Rap,16,barcode16,DNA1-CHA-51-MGE,CHA-51-MGE,,,CM007,MIN_16-2024-5-21,S131
KUB-30-MGE-S132,16S_Rap,17,barcode17,DNA1-KUB-30-MGE,KUB-30-MGE,,,CM007,MIN_16-2024-5-21,S132
GIN-47-MGE-S133,16S_Rap,18,barcode18,DNA1-GIN-47-MGE,GIN-47-MGE,,,CM007,MIN_16-2024-5-21,S133
KOR-49-MGE-S134,16S_Rap,19,barcode19,DNA1-KOR-49-MGE,KOR-49-MGE,,,CM007,MIN_16-2024-5-21,S134
HEN-59-MGE-S135,16S_Rap,20,barcode20,DNA1-HEN-59-MGE,HEN-59-MGE,,,CM007,MIN_16-2024-5-21,S135
WOL-60-MGE-S136,16S_Rap,21,barcode21,DNA1-WOL-60-MGE,WOL-60-MGE,,,CM007,MIN_16-2024-5-21,S136
JOA-62-MGE-S137,16S_Rap,22,barcode22,DNA1-JOA-62-MGE,JOA-62-MGE,,,CM007,MIN_16-2024-5-21,S137
FRA-22-MGE-S138,16S_Rap,23,barcode23,DNA1-FRA-22-MGE,FRA-22-MGE,,,CM007,MIN_16-2024-5-21,S138
CM-NTC-007-CTRL,16S_Rap,24,barcode24,,CM-NTC-007,,,CM007,MIN_16-2024-5-21,CTRL
GOO-22-MGE-S139,16S_Rap,1,barcode01,DNA1-GOO-22-MGE,GOO-22-MGE,,,#N/A,MIN_16-2024-6-11,S139
HAM-23-MGE-S140,16S_Rap,2,barcode02,DNA1-HAM-23-MGE,HAM-23-MGE,,,#N/A,MIN_16-2024-6-11,S140
IRI-23-MGE-S141,16S_Rap,3,barcode03,DNA1-IRI-23-MGE,IRI-23-MGE,,,#N/A,MIN_16-2024-6-11,S141
HER-24-MGE-S142,16S_Rap,4,barcode04,DNA1-HER-24-MGE,HER-24-MGE,,,#N/A,MIN_16-2024-6-11,S142
JOA-24-MGE-S143,16S_Rap,5,barcode05,DNA1-JOA-24-MGE,JOA-24-MGE,,,#N/A,MIN_16-2024-6-11,S143
BUD-52-MGE-S144,16S_Rap,6,barcode06,DNA1-BUD-52-MGE,BUD-52-MGE,,,#N/A,MIN_16-2024-6-11,S144
GIN-52-MGE-S145,16S_Rap,7,barcode07,DNA1-GIN-52-MGE,GIN-52-MGE,,,#N/A,MIN_16-2024-6-11,S145
HER-53-MGE-S146,16S_Rap,8,barcode08,DNA1-HER-53-MGE,HER-53-MGE,,,#N/A,MIN_16-2024-6-11,S146
FRA-53-MGE-S147,16S_Rap,9,barcode09,DNA1-FRA-53-MGE,FRA-53-MGE,,,#N/A,MIN_16-2024-6-11,S147
MAR-53-MGE-S148,16S_Rap,10,barcode10,DNA1-MAR-53-MGE,MAR-53-MGE,,,#N/A,MIN_16-2024-6-11,S148
LAM-55-MGE-S149,16S_Rap,11,barcode11,DNA1-LAM-55-MGE,LAM-55-MGE,,,#N/A,MIN_16-2024-6-11,S149
CHA-55-MGE-S150,16S_Rap,12,barcode12,DNA1-CHA-55-MGE,CHA-55-MGE,,,#N/A,MIN_16-2024-6-11,S150
GRO-56-MGE-S151,16S_Rap,13,barcode13,DNA1-GRO-56-MGE,GRO-56-MGE,,,#N/A,MIN_16-2024-6-11,S151
JOA-56-MGE-S152,16S_Rap,14,barcode14,DNA1-JOA-56-MGE,JOA-56-MGE,,,#N/A,MIN_16-2024-6-11,S152
WOL-58-MGE-S153,16S_Rap,15,barcode15,DNA1-WOL-58-MGE,WOL-58-MGE,,,#N/A,MIN_16-2024-6-11,S153
JOA-60-MGE-S154,16S_Rap,16,barcode16,DNA1-JOA-60-MGE,JOA-60-MGE,,,#N/A,MIN_16-2024-6-11,S154
IRI-17-MGE-S155,16S_Rap,17,barcode17,DNA1-IRI-17-MGE,IRI-17-MGE,,,#N/A,MIN_16-2024-6-11,S155
LAM-17-MGE-S156,16S_Rap,18,barcode18,DNA1-LAM-17-MGE,LAM-17-MGE,,,#N/A,MIN_16-2024-6-11,S156
HAM-18-MGE-S157,16S_Rap,19,barcode19,DNA1-HAM-18-MGE,HAM-18-MGE,,,#N/A,MIN_16-2024-6-11,S157
WOL-18-MGE-S158,16S_Rap,20,barcode20,DNA1-WOL-18-MGE,WOL-18-MGE,,,#N/A,MIN_16-2024-6-11,S158
OPH-19-MGE-S159,16S_Rap,21,barcode21,DNA1-OPH-19-MGE,OPH-19-MGE,,,#N/A,MIN_16-2024-6-11,S159
FRA-19-MGE-S160,16S_Rap,22,barcode22,DNA1-FRA-19-MGE,FRA-19-MGE,,,#N/A,MIN_16-2024-6-11,S160
GOO-20-MGE-S161,16S_Rap,23,barcode23,DNA1-GOO-20-MGE,GOO-20-MGE,,,#N/A,MIN_16-2024-6-11,S161
CM-NTC-008-CTRL,16S_Rap,24,barcode24,,CM-NTC-008,,,#N/A,MIN_16-2024-6-11,CTRL
HEN-29-MGE-S162,16S_Rap,1,barcode01,DNA1-HEN-29-MGE,HEN-29-MGE,,,CM009,MIN_16_2024-7-19,S162
WOL-1-MGE-S163,16S_Rap,2,barcode02,DNA1-WOL-1-MGE,WOL-1-MGE,,,CM009,MIN_16_2024-7-19,S163
IVY-29-MGE-S164,16S_Rap,3,barcode03,DNA1-IVY-29-MGE,IVY-29-MGE,,,CM009,MIN_16_2024-7-19,S164
BUD-57-MGE-S165,16S_Rap,4,barcode04,DNA1-BUD-57-MGE,BUD-57-MGE,,,CM009,MIN_16_2024-7-19,S165
JOA-57-MGE-S166,16S_Rap,5,barcode05,DNA1-JOA-57-MGE,JOA-57-MGE,,,CM009,MIN_16_2024-7-19,S166
IRI-59-MGE-S167,16S_Rap,6,barcode06,DNA1-IRI-59-MGE,IRI-59-MGE,,,CM009,MIN_16_2024-7-19,S167
KOR-29-MGE-S168,16S_Rap,7,barcode07,DNA1-KOR-29-MGE,KOR-29-MGE,,,CM009,MIN_16_2024-7-19,S168
WOL-37-MGE-S169,16S_Rap,8,barcode08,DNA1-WOL-37-MGE,WOL-37-MGE,,,CM009,MIN_16_2024-7-19,S169
JOA-14-MGE-S170,16S_Rap,9,barcode09,DNA1-JOA-14-MGE,JOA-14-MGE,,,CM009,MIN_16_2024-7-19,S170
GIN-27-MGE-S171,16S_Rap,10,barcode10,DNA1-GIN-27-MGE,GIN-27-MGE,,,CM009,MIN_16_2024-7-19,S171
OPH-57-MGE-S172,16S_Rap,11,barcode11,DNA1-OPH-57-MGE,OPH-57-MGE,,,CM009,MIN_16_2024-7-19,S172
HEN-66-MGE-S173,16S_Rap,12,barcode12,DNA1-HEN-66-MGE,HEN-66-MGE,,,CM009,MIN_16_2024-7-19,S173
GIN-2-MGE-S174,16S_Rap,13,barcode13,DNA1-GIN-2-MGE,GIN-2-MGE,,,CM009,MIN_16_2024-7-19,S174
HER-1-MGE-S175,16S_Rap,14,barcode14,DNA1-HER-1-MGE,HER-1-MGE,,,CM009,MIN_16_2024-7-19,S175
JAR-15-MGE-S176,16S_Rap,15,barcode15,DNA1-JAR-15-MGE,JAR-15-MGE,,,CM009,MIN_16_2024-7-19,S176
GIN-29-MGE-S177,16S_Rap,16,barcode16,DNA1-GIN-29-MGE,GIN-29-MGE,,,CM009,MIN_16_2024-7-19,S177
OPH-43-MGE-S178,16S_Rap,17,barcode17,DNA1-OPH-43-MGE,OPH-43-MGE,,,CM009,MIN_16_2024-7-19,S178
WOL-57-MGE-S179,16S_Rap,18,barcode18,DNA1-WOL-57-MGE,WOL-57-MGE,,,CM009,MIN_16_2024-7-19,S179
KUB-15-MGE-S180,16S_Rap,19,barcode19,DNA1-KUB-15-MGE,KUB-15-MGE,,,CM009,MIN_16_2024-7-19,S180
JOA-29-MGE-S181,16S_Rap,20,barcode20,DNA1-JOA-29-MGE,JOA-29-MGE,,,CM009,MIN_16_2024-7-19,S181
HAM-59-MGE-S182,16S_Rap,21,barcode21,DNA1-HAM-59-MGE,HAM-59-MGE,,,CM009,MIN_16_2024-7-19,S182
IVY-70-MGE-S183,16S_Rap,22,barcode22,DNA1-IVY-70-MGE,IVY-70-MGE,,,CM009,MIN_16_2024-7-19,S183
JAR-29-MGE-S184,16S_Rap,23,barcode23,DNA1-JAR-29-MGE,JAR-29-MGE,,,CM009,MIN_16_2024-7-19,S184
CM-NTC-009-NTC,16S_Rap,24,barcode24,,CM-NTC-009,,,CM009,MIN_16_2024-7-19,NTC
JAR-21-MGE-S185,16S_Rap,1,barcode01,DNA1-JAR-21-MGE,JAR-21-MGE,,,CM010,MIN_16_2024-7-21,S185
KUB-21-MGE-S186,16S_Rap,2,barcode02,DNA1-KUB-21-MGE,KUB-21-MGE,,,CM010,MIN_16_2024-7-21,S186
KOR-21-MGE-S187,16S_Rap,3,barcode03,DNA1-KOR-21-MGE,KOR-21-MGE,,,CM010,MIN_16_2024-7-21,S187
IRI-22-MGE-S188,16S_Rap,4,barcode04,DNA1-IRI-22-MGE,IRI-22-MGE,,,CM010,MIN_16_2024-7-21,S188
GRO-22-MGE-S189,16S_Rap,5,barcode05,DNA1-GRO-22-MGE,GRO-22-MGE,,,CM010,MIN_16_2024-7-21,S189
HAM-25-MGE-S190,16S_Rap,6,barcode06,DNA1-HAM-25-MGE,HAM-25-MGE,,,CM010,MIN_16_2024-7-21,S190
LAM-25-MGE-S191,16S_Rap,7,barcode07,DNA1-LAM-25-MGE,LAM-25-MGE,,,CM010,MIN_16_2024-7-21,S191
BUD-44-MGE-S192,16S_Rap,8,barcode08,DNA1-BUD-44-MGE,BUD-44-MGE,,,CM010,MIN_16_2024-7-21,S192
WOL-17-MGE-S193,16S_Rap,9,barcode09,DNA1-WOL-17-MGE,WOL-17-MGE,,,CM010,MIN_16_2024-7-21,S193
GIN-46-MGE-S194,16S_Rap,10,barcode10,DNA1-GIN-46-MGE,GIN-46-MGE,,,CM010,MIN_16_2024-7-21,S194
FRA-47-MGE-S195,16S_Rap,11,barcode11,DNA1-FRA-47-MGE,FRA-47-MGE,,,CM010,MIN_16_2024-7-21,S195
IVY-47-MGE-S196,16S_Rap,12,barcode12,DNA1-IVY-47-MGE,IVY-47-MGE,,,CM010,MIN_16_2024-7-21,S196
KOR-48-MGE-S197,16S_Rap,13,barcode13,DNA1-KOR-48-MGE,KOR-48-MGE,,,CM010,MIN_16_2024-7-21,S197
HEN-48-MGE-S198,16S_Rap,14,barcode14,DNA1-HEN-48-MGE,HEN-48-MGE,,,CM010,MIN_16_2024-7-21,S198
MAR-49-MGE-S199,16S_Rap,15,barcode15,DNA1-MAR-49-MGE,MAR-49-MGE,,,CM010,MIN_16_2024-7-21,S199
JOA-49-MGE-S200,16S_Rap,16,barcode16,DNA1-JOA-49-MGE,JOA-49-MGE,,,CM010,MIN_16_2024-7-21,S200
GRO-50-MGE-S201,16S_Rap,17,barcode17,DNA1-GRO-50-MGE,GRO-50-MGE,,,CM010,MIN_16_2024-7-21,S201
GIN-50-MGE-S202,16S_Rap,18,barcode18,DNA1-GIN-50-MGE,GIN-50-MGE,,,CM010,MIN_16_2024-7-21,S202
OPH-9-MGE-S203,16S_Rap,19,barcode19,DNA1-OPH-9-MGE,OPH-9-MGE,,,CM010,MIN_16_2024-7-21,S203
CHA-9-MGE-S204,16S_Rap,20,barcode20,DNA1-CHA-9-MGE,CHA-9-MGE,,,CM010,MIN_16_2024-7-21,S204
HAM-11-MGE-S205,16S_Rap,21,barcode21,DNA1-HAM-11-MGE,HAM-11-MGE,,,CM010,MIN_16_2024-7-21,S205
BUD-11-MGE-S206,16S_Rap,22,barcode22,DNA1-BUD-11-MGE,BUD-11-MGE,,,CM010,MIN_16_2024-7-21,S206
JAR-14-MGE-S207,16S_Rap,23,barcode23,DNA1-JAR-14-MGE,JAR-14-MGE,,,CM010,MIN_16_2024-7-21,S207
CM-NTC-010-CTRL,16S_Rap,24,barcode24,,CM-NTC-010,,,CM010,MIN_16_2024-7-21,CTRL
