"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"Bristol"	"SampleTime"	"SampleStabilizer"	"CollectionDate"	"Subject"	"Subj_Certainty"
"GRO-70-DRS-L217"	"cm001"	44	44	"DNA1-GRO-70-DRS"	6	227	136.2	3.51	17890	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GRO-70-DRS"	"DNA Extracts 7"	""	21	"SA"	""	3	730	"DNA/RNA Shield"	2023-05-18	"Grogu"	"yes"
"LAM-2-DRS-L218"	"cm001"	45	45	"DNA1-LAM-2-DRS"	12	227	136.2	1.65	21200	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"LAM-2-DRS"	"DNA Extracts 7"	""	6.3	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-11	"Lambchop"	"yes"
"LAM-2-MGE-L219"	"cm001"	46	46	"DNA1-LAM-2-MGE"	16	227	136.2	1.21	18486	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"LAM-2-MGE"	"DNA Extracts 7"	""	3.2	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Lambchop"	"yes"
"JAR-3-DRS-L220"	"cm001"	47	47	"DNA1-JAR-3-DRS"	5	227	136.2	4.14	19609	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"JAR-3-DRS"	"DNA Extracts 7"	""	9.4	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-12	"JarJar BINKS"	"yes"
"JAR-3-MGE-L221"	"cm001"	48	48	"DNA1-JAR-3-MGE"	9	227	136.2	2.19	19280	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"JAR-3-MGE"	"DNA Extracts 7"	""	7.4	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-12	"JarJar BINKS"	"yes"
"GOO-4-DRS-L222"	"cm001"	49	49	"DNA1-GOO-4-DRS"	2	227	136.2	10	8709	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"GOO-4-DRS"	"DNA Extracts 7"	""	8.9	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-13	"Goose"	"yes"
"GOO-4-MGE-L223"	"cm001"	50	50	"DNA1-GOO-4-MGE"	12	227	136.2	1.6	30774	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"GOO-4-MGE"	"DNA Extracts 7"	""	5.6	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-13	"Goose"	"yes"
"MAR-37-MGE-L224"	"cm001"	51	51	"DNA1-MAR-37-MGE"	10	227	136.2	1.94	19395	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"MAR-37-MGE"	"DNA Extracts 7"	""	19	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-04-15	"Marshmallow"	"yes"
"JOA-3-MGE-L225"	"cm001"	52	52	"DNA1-JOA-3-MGE"	4	227	136.2	4.64	21011	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"JOA-3-MGE"	"DNA Extracts 7"	""	9.6	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-12	"Joans"	"yes"
"IRI-16-MGE-S1"	"cm002"	1	1	"DNA1-IRI-16-MGE"	1	NA	NA	7.2	71273	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"IRI-16-MGE"	"DNA Extracts 5"	""	6.4	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-25	"Iris"	"yes"
"WOL-70-MGE-S2"	"cm002"	2	2	"DNA1-WOL-70-MGE"	1	NA	NA	4.55	40446	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-70-MGE"	"DNA Extracts 6"	""	9	"SA"	""	2	800	"Molecular Grade (95%) Ethanol"	2023-05-18	"Wolverine"	"yes"
"JAR-2-DRS-S3"	"cm002"	3	3	"DNA1-JAR-2-DRS"	0	NA	NA	7.4	26940	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-2-DRS"	"DNA Extracts 6"	""	5.6	"SA"	""	3	800	"DNA/RNA Shield"	2023-03-11	"JarJar BINKS"	"yes"
"JAR-2-MGE-S4"	"cm002"	4	4	"DNA1-JAR-2-MGE"	0	NA	NA	8.9	33907	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-2-MGE"	"DNA Extracts 6"	""	5.2	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"JarJar BINKS"	"yes"
"HAM-17-MGE-S5"	"cm002"	5	5	"DNA1-HAM-17-MGE"	2	NA	NA	1.64	86444	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-17-MGE"	"DNA Extracts 6"	""	9.5	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-03-26	"Hamlet"	"yes"
"WOL-44-MGE-S6"	"cm002"	6	6	"DNA1-WOL-44-MGE"	1	NA	NA	7.2	51899	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"WOL-44-MGE"	"DNA Extracts 6"	""	7	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"Wolverine"	"yes"
"GRO-41-MGE-S7"	"cm002"	7	7	"DNA1-GRO-41-MGE"	1	NA	NA	6.9	56368	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GRO-41-MGE"	"DNA Extracts 6"	""	13	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-19	"Grogu"	"yes"
"KOR-44-MGE-S8"	"cm002"	8	8	"DNA1-KOR-44-MGE"	1	NA	NA	2.79	22600	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KOR-44-MGE"	"DNA Extracts 6"	""	11	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"Korra"	"yes"
"MAR-41-MGE-S9"	"cm002"	9	9	"DNA1-MAR-41-MGE"	0	NA	NA	7.9	31627	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"MAR-41-MGE"	"DNA Extracts 6"	""	6.7	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-04-19	"Marshmallow"	"yes"
"JAR-44-MGE-S10"	"cm002"	10	10	"DNA1-JAR-44-MGE"	2	NA	NA	2.21	14327	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"JAR-44-MGE"	"DNA Extracts 6"	""	18	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-04-22	"JarJar BINKS"	"yes"
"KUB-58-MGE-S11"	"cm002"	11	11	"DNA1-KUB-58-MGE"	1	NA	NA	6.5	49568	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KUB-58-MGE"	"DNA Extracts 6"	""	4.8	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-05-05	"Kubo"	"yes"
"KUB-58-MGE-S11"	"cm002"	11	11	"DNA1-KUB-58-MGE"	1	NA	NA	6.5	49568	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KUB-58-MGE"	"DNA Extracts 6"	""	4.8	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-05-06	"Kubo"	"yes"
"HAM-67-MGE-S12"	"cm002"	12	12	"DNA1-HAM-67-MGE"	0	NA	NA	7.5	33440	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HAM-67-MGE"	"DNA Extracts 6"	""	19	"SA/GR"	""	2	730	"Molecular Grade (95%) Ethanol"	2023-05-15	"Hamlet"	"yes"
"GRO-36-MGE-S13"	"cm002"	13	13	"DNA1-GRO-36-MGE"	1	NA	NA	6.5	43384	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-30	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"GRO-36-MGE"	"DNA Extracts 6"	""	23	"SA/GR"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-14	"Grogu"	"yes"
"KOR-58-MGE-S14"	"cm002"	14	14	"DNA1-KOR-58-MGE"	1	NA	NA	7.2	36599	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"KOR-58-MGE"	"DNA Extracts 6"	""	14	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-05-06	"Korra"	"yes"
"GRO-70-DRS-S15"	"cm002"	15	15	"DNA1-GRO-70-DRS"	1	NA	NA	7.3	56641	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"GRO-70-DRS"	"DNA Extracts 7"	""	21	"SA"	""	3	730	"DNA/RNA Shield"	2023-05-18	"Grogu"	"yes"
"LAM-2-DRS-S16"	"cm002"	16	16	"DNA1-LAM-2-DRS"	0	NA	NA	8	21211	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"LAM-2-DRS"	"DNA Extracts 7"	""	6.3	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-11	"Lambchop"	"yes"
"LAM-2-MGE-S17"	"cm002"	17	17	"DNA1-LAM-2-MGE"	1	NA	NA	5.6	30800	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"LAM-2-MGE"	"DNA Extracts 7"	""	3.2	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Lambchop"	"yes"
"JAR-3-DRS-S18"	"cm002"	18	18	"DNA1-JAR-3-DRS"	1	NA	NA	5.6	29582	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"JAR-3-DRS"	"DNA Extracts 7"	""	9.4	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-12	"JarJar BINKS"	"yes"
"JAR-3-MGE-S19"	"cm002"	19	19	"DNA1-JAR-3-MGE"	1	NA	NA	4.96	29202	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"JAR-3-MGE"	"DNA Extracts 7"	""	7.4	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-12	"JarJar BINKS"	"yes"
"GOO-4-DRS-S20"	"cm002"	20	20	"DNA1-GOO-4-DRS"	0	NA	NA	7.9	25527	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"GOO-4-DRS"	"DNA Extracts 7"	""	8.9	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-13	"Goose"	"yes"
"GOO-4-MGE-S21"	"cm002"	21	21	"DNA1-GOO-4-MGE"	1	NA	NA	7.1	35060	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"GOO-4-MGE"	"DNA Extracts 7"	""	5.6	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-13	"Goose"	"yes"
"MAR-37-MGE-S22"	"cm002"	22	22	"DNA1-MAR-37-MGE"	1	NA	NA	7.1	36972	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"MAR-37-MGE"	"DNA Extracts 7"	""	19	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-04-15	"Marshmallow"	"yes"
"JOA-3-MGE-S23"	"cm002"	23	23	"DNA1-JOA-3-MGE"	1	NA	NA	5.9	41466	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"JOA-3-MGE"	"DNA Extracts 7"	""	9.6	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-12	"Joans"	"yes"
"NTC2-CTRL"	"cm002"	24	24	""	NA	NA	NA	NA	5	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PAD-6-MGE-S24"	"cm003"	1	1	"DNA1-PAD-6-MGE"	9	NA	NA	0.433	10404	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"PAD-6-MGE"	"DNA Extracts 7"	""	11	"SA"	""	4	730	"Molecular Grade (96%) Ethanol"	2023-03-15	"Padme"	"yes"
"IRI-11-MGE-S25"	"cm003"	2	2	"DNA1-IRI-11-MGE"	9	NA	NA	0.0984	671	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"IRI-11-MGE"	"DNA Extracts 7"	""	7.1	"SA"	""	1	730	"Molecular Grade (96%) Ethanol"	2023-03-20	"Iris"	"yes"
"LAM-18-MGE-S26"	"cm003"	3	3	"DNA1-LAM-18-MGE"	9	NA	NA	0.428	8300	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"LAM-18-MGE"	"DNA Extracts 7"	""	4.5	"SA/GR"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-03-27	"Lambchop"	"yes"
"HER-19-MGE-S27"	"cm003"	4	4	"DNA1-HER-19-MGE"	9	NA	NA	0.253	3273	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"HER-19-MGE"	"DNA Extracts 7"	""	11	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-03-28	"Hera"	"yes"
"MAR-36-MGE-S28"	"cm003"	5	5	"DNA1-MAR-36-MGE"	9	NA	NA	0.13	1340	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"MAR-36-MGE"	"DNA Extracts 7"	""	17	"SA/GR"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-14	"Marshmallow"	"yes"
"KOR-20-DRS-S29"	"cm003"	6	6	"DNA1-KOR-20-DRS"	6	NA	NA	0.714	5215	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"KOR-20-DRS"	"DNA Extracts 7"	""	10	"SA"	""	3	730	"DNA/RNA Shield"	2023-03-29	"Korra"	"yes"
"KUB-20-MGE-S30"	"cm003"	7	7	"DNA1-KUB-20-MGE"	9	NA	NA	0.225	2631	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"KUB-20-MGE"	"DNA Extracts 7"	""	3.7	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-29	"Kubo"	"yes"
"IRI-29-MGE-S31"	"cm003"	8	8	"DNA1-IRI-29-MGE"	9	NA	NA	0.307	3930	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"IRI-29-MGE"	"DNA Extracts 7"	""	16	"SA/GR"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-04-07	"Iris"	"yes"
"HAM-31-MGE-S32"	"cm003"	9	9	"DNA1-HAM-31-MGE"	1	NA	NA	5.2	11312	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"HAM-31-MGE"	"DNA Extracts 7"	""	13	"SA"	""	2	700	"Molecular Grade (96%) Ethanol"	2023-04-09	"Hamlet"	"yes"
"JAR-32-DRS-S33"	"cm003"	10	10	"DNA1-JAR-32-DRS"	1	NA	NA	5.2	8634	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"JAR-32-DRS"	"DNA Extracts 7"	""	5.7	"SA/GR"	""	2	800	"DNA/RNA Shield"	2023-04-10	"JarJar BINKS"	"yes"
"JAR-32-MGE-S34"	"cm003"	11	11	"DNA1-JAR-32-MGE"	1	NA	NA	5.5	6751	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"JAR-32-MGE"	"DNA Extracts 7"	""	5.6	"SA/GR"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-04-10	"JarJar BINKS"	"yes"
"FRA-44-DRS-S35"	"cm003"	12	12	"DNA1-FRA-44-DRS"	1	NA	NA	5.3	7410	"ARM773"	"PL3"	"no_sample"	2024-03-06	2024-03-06 19:21:09.366316	"marmoset"	2024-03-06	"rapid16s"	"SQK-16S024"	"FLO-FLG001"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-10-11	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"FRA-44-DRS"	"DNA Extracts 7"	""	9.5	"SA"	""	3	800	"DNA/RNA Shield"	2023-04-22	"Franc"	"yes"
